Temperature,Pressure,Density,SpecificVolume,InternalEnergy,Enthalpy,Entropy,Cv,Cp,SpeedSound,JT,Viscosity,ThermalConductivity
19,0.01,0.066057,15.138,746.14,897.53,7.8317,1.6941,2.2129,444.64,4.5691,1.10E-05,0.033404
19,0.02,0.13214,7.5678,746.07,897.43,7.4722,1.6942,2.2135,444.6,4.5686,1.10E-05,0.033412
19,0.03,0.19824,5.0443,746,897.32,7.2618,1.6943,2.2141,444.57,4.5681,1.10E-05,0.03342
19,0.04,0.26438,3.7825,745.92,897.22,7.1125,1.6944,2.2147,444.53,4.5676,1.10E-05,0.033427
19,0.05,0.33053,3.0254,745.85,897.12,6.9966,1.6945,2.2153,444.5,4.567,1.10E-05,0.033434
19,0.06,0.39671,2.5207,745.78,897.02,6.9018,1.6946,2.2159,444.46,4.5665,1.10E-05,0.033441
19,0.07,0.46292,2.1602,745.7,896.92,6.8217,1.6948,2.2165,444.42,4.566,1.10E-05,0.033448
19,0.08,0.52915,1.8898,745.63,896.82,6.7522,1.6949,2.2171,444.39,4.5655,1.10E-05,0.033455
19,0.09,0.5954,1.6795,745.56,896.72,6.6909,1.695,2.2177,444.35,4.565,1.10E-05,0.033462
19,0.1,0.66168,1.5113,745.49,896.62,6.6361,1.6951,2.2184,444.32,4.5644,1.10E-05,0.033469
19,0.11,0.72798,1.3737,745.41,896.51,6.5864,1.6952,2.219,444.28,4.5639,1.10E-05,0.033476
19,0.12,0.79431,1.259,745.34,896.41,6.5411,1.6953,2.2196,444.25,4.5634,1.10E-05,0.033483
19,0.13,0.86066,1.1619,745.27,896.31,6.4994,1.6954,2.2202,444.21,4.5629,1.10E-05,0.03349
19,0.14,0.92704,1.0787,745.19,896.21,6.4607,1.6955,2.2208,444.18,4.5623,1.10E-05,0.033496
19,0.15,0.99344,1.0066,745.12,896.11,6.4247,1.6956,2.2214,444.14,4.5618,1.10E-05,0.033503
19,0.16,1.0599,0.94351,745.05,896.01,6.391,1.6957,2.222,444.1,4.5613,1.10E-05,0.03351
19,0.17,1.1263,0.88784,744.97,895.91,6.3593,1.6958,2.2226,444.07,4.5608,1.10E-05,0.033517
19,0.18,1.1928,0.83836,744.9,895.81,6.3295,1.6959,2.2233,444.03,4.5602,1.10E-05,0.033524
19,0.19,1.2593,0.79409,744.83,895.7,6.3012,1.696,2.2239,444,4.5597,1.10E-05,0.03353
19,0.2,1.3258,0.75425,744.75,895.6,6.2743,1.6961,2.2245,443.96,4.5592,1.10E-05,0.033537
19,0.21,1.3924,0.7182,744.68,895.5,6.2488,1.6962,2.2251,443.93,4.5586,1.10E-05,0.033544
19,0.22,1.459,0.68542,744.61,895.4,6.2244,1.6964,2.2257,443.89,4.5581,1.10E-05,0.033551
19,0.23,1.5256,0.6555,744.53,895.3,6.2012,1.6965,2.2263,443.86,4.5576,1.10E-05,0.033558
19,0.24,1.5922,0.62807,744.46,895.2,6.1789,1.6966,2.227,443.82,4.557,1.10E-05,0.033564
19,0.25,1.6588,0.60283,744.39,895.1,6.1574,1.6967,2.2276,443.79,4.5565,1.10E-05,0.033571
19,0.26,1.7255,0.57954,744.31,894.99,6.1369,1.6968,2.2282,443.75,4.556,1.10E-05,0.033578
19,0.27,1.7922,0.55797,744.24,894.89,6.1171,1.6969,2.2288,443.72,4.5554,1.10E-05,0.033585
19,0.28,1.8589,0.53794,744.17,894.79,6.098,1.697,2.2294,443.68,4.5549,1.10E-05,0.033591
19,0.29,1.9257,0.5193,744.09,894.69,6.0795,1.6971,2.23,443.65,4.5544,1.10E-05,0.033598
19,0.3,1.9925,0.50189,744.02,894.59,6.0617,1.6972,2.2307,443.61,4.5538,1.10E-05,0.033605
19,0.31,2.0593,0.48561,743.95,894.49,6.0444,1.6973,2.2313,443.58,4.5533,1.10E-05,0.033612
19,0.32,2.1261,0.47035,743.87,894.38,6.0277,1.6974,2.2319,443.54,4.5527,1.10E-05,0.033618
19,0.33,2.1929,0.45601,743.8,894.28,6.0115,1.6975,2.2325,443.51,4.5522,1.10E-05,0.033625
19,0.34,2.2598,0.44252,743.73,894.18,5.9958,1.6976,2.2332,443.47,4.5517,1.10E-05,0.033632
19,0.35,2.3267,0.42979,743.65,894.08,5.9805,1.6977,2.2338,443.44,4.5511,1.10E-05,0.033639
19,0.36,2.3936,0.41778,743.58,893.98,5.9657,1.6978,2.2344,443.4,4.5506,1.10E-05,0.033645
19,0.37,2.4606,0.40641,743.51,893.88,5.9512,1.698,2.235,443.37,4.55,1.10E-05,0.033652
19,0.38,2.5276,0.39564,743.43,893.77,5.9372,1.6981,2.2357,443.33,4.5495,1.10E-05,0.033659
19,0.39,2.5946,0.38542,743.36,893.67,5.9235,1.6982,2.2363,443.3,4.5489,1.10E-05,0.033666
19,0.4,2.6616,0.37572,743.28,893.57,5.9101,1.6983,2.2369,443.26,4.5484,1.10E-05,0.033673
19,0.41,2.7286,0.36648,743.21,893.47,5.897,1.6984,2.2375,443.23,4.5478,1.10E-05,0.033679
19,0.42,2.7957,0.35769,743.14,893.37,5.8843,1.6985,2.2382,443.19,4.5473,1.10E-05,0.033686
19,0.43,2.8628,0.34931,743.06,893.27,5.8718,1.6986,2.2388,443.16,4.5467,1.10E-05,0.033693
19,0.44,2.9299,0.34131,742.99,893.16,5.8597,1.6987,2.2394,443.13,4.5462,1.10E-05,0.0337
19,0.45,2.9971,0.33366,742.92,893.06,5.8478,1.6988,2.24,443.09,4.5456,1.10E-05,0.033707
19,0.46,3.0643,0.32634,742.84,892.96,5.8361,1.6989,2.2407,443.06,4.5451,1.10E-05,0.033713
19,0.47,3.1315,0.31934,742.77,892.86,5.8247,1.699,2.2413,443.02,4.5445,1.10E-05,0.03372
19,0.48,3.1987,0.31263,742.69,892.76,5.8136,1.6991,2.2419,442.99,4.544,1.10E-05,0.033727
19,0.49,3.2659,0.30619,742.62,892.65,5.8026,1.6992,2.2426,442.95,4.5434,1.10E-05,0.033734
19,0.5,3.3332,0.30001,742.55,892.55,5.7919,1.6993,2.2432,442.92,4.5428,1.10E-05,0.033741
19,0.51,3.4005,0.29407,742.47,892.45,5.7814,1.6995,2.2438,442.88,4.5423,1.10E-05,0.033748
19,0.52,3.4678,0.28836,742.4,892.35,5.7711,1.6996,2.2445,442.85,4.5417,1.10E-05,0.033754
19,0.53,3.5352,0.28287,742.33,892.25,5.761,1.6997,2.2451,442.82,4.5412,1.10E-05,0.033761
19,0.54,3.6026,0.27758,742.25,892.14,5.751,1.6998,2.2457,442.78,4.5406,1.10E-05,0.033768
19,0.55,3.67,0.27248,742.18,892.04,5.7413,1.6999,2.2464,442.75,4.5401,1.11E-05,0.033775
19,0.56,3.7374,0.26757,742.1,891.94,5.7317,1.7,2.247,442.71,4.5395,1.11E-05,0.033782
19,0.57,3.8048,0.26282,742.03,891.84,5.7222,1.7001,2.2476,442.68,4.5389,1.11E-05,0.033789
19,0.58,3.8723,0.25824,741.96,891.74,5.713,1.7002,2.2483,442.65,4.5384,1.11E-05,0.033796
19,0.59,3.9398,0.25382,741.88,891.63,5.7039,1.7003,2.2489,442.61,4.5378,1.11E-05,0.033802
19,0.6,4.0073,0.24954,741.81,891.53,5.6949,1.7004,2.2495,442.58,4.5372,1.11E-05,0.033809
19,0.61,4.0749,0.24541,741.73,891.43,5.6861,1.7005,2.2502,442.54,4.5367,1.11E-05,0.033816
19,0.62,4.1425,0.2414,741.66,891.33,5.6774,1.7006,2.2508,442.51,4.5361,1.11E-05,0.033823
19,0.63,4.2101,0.23753,741.59,891.23,5.6688,1.7007,2.2514,442.48,4.5355,1.11E-05,0.03383
19,0.64,4.2777,0.23377,741.51,891.12,5.6604,1.7009,2.2521,442.44,4.535,1.11E-05,0.033837
19,0.65,4.3453,0.23013,741.44,891.02,5.6521,1.701,2.2527,442.41,4.5344,1.11E-05,0.033844
19,0.66,4.413,0.2266,741.36,890.92,5.644,1.7011,2.2534,442.37,4.5338,1.11E-05,0.033851
19,0.67,4.4807,0.22318,741.29,890.82,5.6359,1.7012,2.254,442.34,4.5332,1.11E-05,0.033858
19,0.68,4.5485,0.21985,741.21,890.72,5.628,1.7013,2.2546,442.31,4.5327,1.11E-05,0.033864
19,0.69,4.6162,0.21663,741.14,890.61,5.6202,1.7014,2.2553,442.27,4.5321,1.11E-05,0.033871
19,0.7,4.684,0.21349,741.07,890.51,5.6125,1.7015,2.2559,442.24,4.5315,1.11E-05,0.033878
19,0.71,4.7518,0.21045,740.99,890.41,5.6049,1.7016,2.2566,442.21,4.5309,1.11E-05,0.033885
19,0.72,4.8196,0.20749,740.92,890.31,5.5974,1.7017,2.2572,442.17,4.5304,1.11E-05,0.033892
19,0.73,4.8875,0.2046,740.84,890.2,5.59,1.7018,2.2579,442.14,4.5298,1.11E-05,0.033899
19,0.74,4.9554,0.2018,740.77,890.1,5.5827,1.7019,2.2585,442.11,4.5292,1.11E-05,0.033906
19,0.75,5.0233,0.19907,740.69,890,5.5754,1.702,2.2591,442.07,4.5286,1.11E-05,0.033913
19,0.76,5.0912,0.19642,740.62,889.9,5.5683,1.7021,2.2598,442.04,4.528,1.11E-05,0.03392
19,0.77,5.1592,0.19383,740.55,889.8,5.5613,1.7023,2.2604,442.01,4.5275,1.11E-05,0.033927
19,0.78,5.2271,0.19131,740.47,889.69,5.5544,1.7024,2.2611,441.97,4.5269,1.11E-05,0.033934
19,0.79,5.2951,0.18885,740.4,889.59,5.5475,1.7025,2.2617,441.94,4.5263,1.11E-05,0.033941
19,0.8,5.3632,0.18646,740.32,889.49,5.5407,1.7026,2.2624,441.91,4.5257,1.11E-05,0.033948
19,0.81,5.4312,0.18412,740.25,889.39,5.534,1.7027,2.263,441.87,4.5251,1.11E-05,0.033955
19,0.82,5.4993,0.18184,740.17,889.28,5.5274,1.7028,2.2637,441.84,4.5245,1.11E-05,0.033962
19,0.83,5.5674,0.17962,740.1,889.18,5.5209,1.7029,2.2643,441.81,4.524,1.11E-05,0.033969
19,0.84,5.6356,0.17744,740.03,889.08,5.5144,1.703,2.265,441.77,4.5234,1.11E-05,0.033976
19,0.85,5.7037,0.17532,739.95,888.98,5.508,1.7031,2.2656,441.74,4.5228,1.11E-05,0.033983
19,0.86,5.7719,0.17325,739.88,888.87,5.5017,1.7032,2.2663,441.71,4.5222,1.11E-05,0.03399
19,0.87,5.8401,0.17123,739.8,888.77,5.4955,1.7033,2.2669,441.67,4.5216,1.11E-05,0.033997
19,0.88,5.9083,0.16925,739.73,888.67,5.4893,1.7034,2.2676,441.64,4.521,1.11E-05,0.034004
19,0.89,5.9766,0.16732,739.65,888.57,5.4832,1.7035,2.2682,441.61,4.5204,1.11E-05,0.034011
19,0.9,6.0449,0.16543,739.58,888.46,5.4771,1.7037,2.2689,441.58,4.5198,1.11E-05,0.034018
19,0.91,6.1132,0.16358,739.5,888.36,5.4711,1.7038,2.2695,441.54,4.5192,1.11E-05,0.034025
19,0.92,6.1815,0.16177,739.43,888.26,5.4652,1.7039,2.2702,441.51,4.5186,1.11E-05,0.034032
19,0.93,6.2499,0.16,739.35,888.16,5.4594,1.704,2.2708,441.48,4.518,1.11E-05,0.034039
19,0.94,6.3183,0.15827,739.28,888.05,5.4536,1.7041,2.2715,441.44,4.5174,1.11E-05,0.034046
19,0.95,6.3867,0.15658,739.2,887.95,5.4478,1.7042,2.2721,441.41,4.5168,1.11E-05,0.034053
19,0.96,6.4552,0.15492,739.13,887.85,5.4422,1.7043,2.2728,441.38,4.5162,1.11E-05,0.034061
19,0.97,6.5236,0.15329,739.05,887.75,5.4365,1.7044,2.2735,441.35,4.5156,1.11E-05,0.034068
19,0.98,6.5921,0.1517,738.98,887.64,5.431,1.7045,2.2741,441.31,4.515,1.11E-05,0.034075
19,0.99,6.6606,0.15014,738.91,887.54,5.4254,1.7046,2.2748,441.28,4.5144,1.11E-05,0.034082
19,1,6.7292,0.14861,738.83,887.44,5.42,1.7047,2.2754,441.25,4.5138,1.11E-05,0.034089
20,0.01,0.065831,15.19,747.84,899.74,7.8393,1.6963,2.2151,445.33,4.5373,1.10E-05,0.033542
20,0.02,0.13169,7.5938,747.76,899.64,7.4798,1.6964,2.2157,445.3,4.5368,1.10E-05,0.033549
20,0.03,0.19757,5.0616,747.69,899.54,7.2694,1.6965,2.2163,445.26,4.5363,1.10E-05,0.033557
20,0.04,0.26347,3.7955,747.62,899.44,7.12,1.6966,2.2169,445.23,4.5358,1.10E-05,0.033564
20,0.05,0.3294,3.0358,747.55,899.34,7.0041,1.6967,2.2175,445.19,4.5352,1.10E-05,0.033571
20,0.06,0.39535,2.5294,747.47,899.24,6.9094,1.6969,2.2181,445.16,4.5347,1.10E-05,0.033578
20,0.07,0.46133,2.1676,747.4,899.14,6.8293,1.697,2.2187,445.12,4.5342,1.10E-05,0.033585
20,0.08,0.52733,1.8963,747.33,899.04,6.7598,1.6971,2.2193,445.09,4.5337,1.10E-05,0.033592
20,0.09,0.59336,1.6853,747.26,898.94,6.6985,1.6972,2.2199,445.05,4.5331,1.10E-05,0.033599
20,0.1,0.65941,1.5165,747.18,898.84,6.6437,1.6973,2.2205,445.02,4.5326,1.10E-05,0.033606
20,0.11,0.72548,1.3784,747.11,898.73,6.594,1.6974,2.2211,444.98,4.5321,1.10E-05,0.033613
20,0.12,0.79158,1.2633,747.04,898.63,6.5487,1.6975,2.2217,444.95,4.5316,1.10E-05,0.03362
20,0.13,0.8577,1.1659,746.97,898.53,6.507,1.6976,2.2223,444.91,4.531,1.10E-05,0.033626
20,0.14,0.92385,1.0824,746.89,898.43,6.4683,1.6977,2.2229,444.88,4.5305,1.10E-05,0.033633
20,0.15,0.99002,1.0101,746.82,898.33,6.4323,1.6978,2.2235,444.84,4.53,1.10E-05,0.03364
20,0.16,1.0562,0.94678,746.75,898.23,6.3986,1.6979,2.2242,444.81,4.5295,1.10E-05,0.033647
20,0.17,1.1224,0.89092,746.67,898.13,6.3669,1.698,2.2248,444.77,4.5289,1.10E-05,0.033654
20,0.18,1.1887,0.84127,746.6,898.03,6.3371,1.6981,2.2254,444.74,4.5284,1.10E-05,0.03366
20,0.19,1.255,0.79684,746.53,897.93,6.3088,1.6982,2.226,444.7,4.5279,1.10E-05,0.033667
20,0.2,1.3212,0.75686,746.46,897.83,6.282,1.6983,2.2266,444.67,4.5273,1.10E-05,0.033674
20,0.21,1.3876,0.72069,746.38,897.73,6.2564,1.6984,2.2272,444.63,4.5268,1.10E-05,0.033681
20,0.22,1.4539,0.6878,746.31,897.63,6.2321,1.6985,2.2278,444.6,4.5263,1.10E-05,0.033687
20,0.23,1.5203,0.65778,746.24,897.53,6.2088,1.6986,2.2284,444.56,4.5257,1.10E-05,0.033694
20,0.24,1.5867,0.63025,746.16,897.42,6.1865,1.6988,2.229,444.53,4.5252,1.10E-05,0.033701
20,0.25,1.6531,0.60493,746.09,897.32,6.1651,1.6989,2.2297,444.49,4.5247,1.10E-05,0.033707
20,0.26,1.7195,0.58156,746.02,897.22,6.1445,1.699,2.2303,444.46,4.5241,1.10E-05,0.033714
20,0.27,1.786,0.55992,745.94,897.12,6.1247,1.6991,2.2309,444.42,4.5236,1.10E-05,0.033721
20,0.28,1.8525,0.53982,745.87,897.02,6.1056,1.6992,2.2315,444.39,4.523,1.10E-05,0.033728
20,0.29,1.919,0.52111,745.8,896.92,6.0871,1.6993,2.2321,444.35,4.5225,1.10E-05,0.033734
20,0.3,1.9855,0.50365,745.73,896.82,6.0693,1.6994,2.2327,444.32,4.522,1.10E-05,0.033741
20,0.31,2.0521,0.48731,745.65,896.72,6.0521,1.6995,2.2333,444.29,4.5214,1.11E-05,0.033748
20,0.32,2.1187,0.47199,745.58,896.62,6.0354,1.6996,2.234,444.25,4.5209,1.11E-05,0.033755
20,0.33,2.1853,0.45761,745.51,896.52,6.0192,1.6997,2.2346,444.22,4.5203,1.11E-05,0.033761
20,0.34,2.2519,0.44406,745.43,896.42,6.0035,1.6998,2.2352,444.18,4.5198,1.11E-05,0.033768
20,0.35,2.3186,0.4313,745.36,896.31,5.9882,1.6999,2.2358,444.15,4.5192,1.11E-05,0.033775
20,0.36,2.3853,0.41924,745.29,896.21,5.9733,1.7,2.2364,444.11,4.5187,1.11E-05,0.033782
20,0.37,2.452,0.40783,745.21,896.11,5.9589,1.7001,2.237,444.08,4.5181,1.11E-05,0.033788
20,0.38,2.5187,0.39703,745.14,896.01,5.9448,1.7002,2.2377,444.05,4.5176,1.11E-05,0.033795
20,0.39,2.5855,0.38678,745.07,895.91,5.9311,1.7003,2.2383,444.01,4.517,1.11E-05,0.033802
20,0.4,2.6523,0.37704,744.99,895.81,5.9177,1.7004,2.2389,443.98,4.5165,1.11E-05,0.033809
20,0.41,2.7191,0.36777,744.92,895.71,5.9047,1.7006,2.2395,443.94,4.5159,1.11E-05,0.033815
20,0.42,2.7859,0.35895,744.85,895.61,5.8919,1.7007,2.2401,443.91,4.5154,1.11E-05,0.033822
20,0.43,2.8528,0.35054,744.77,895.51,5.8795,1.7008,2.2408,443.87,4.5148,1.11E-05,0.033829
20,0.44,2.9196,0.34251,744.7,895.4,5.8673,1.7009,2.2414,443.84,4.5143,1.11E-05,0.033836
20,0.45,2.9865,0.33484,744.63,895.3,5.8554,1.701,2.242,443.81,4.5137,1.11E-05,0.033843
20,0.46,3.0535,0.3275,744.55,895.2,5.8438,1.7011,2.2426,443.77,4.5132,1.11E-05,0.033849
20,0.47,3.1204,0.32047,744.48,895.1,5.8324,1.7012,2.2433,443.74,4.5126,1.11E-05,0.033856
20,0.48,3.1874,0.31373,744.41,895,5.8212,1.7013,2.2439,443.71,4.5121,1.11E-05,0.033863
20,0.49,3.2544,0.30727,744.33,894.9,5.8103,1.7014,2.2445,443.67,4.5115,1.11E-05,0.03387
20,0.5,3.3214,0.30107,744.26,894.8,5.7996,1.7015,2.2451,443.64,4.5109,1.11E-05,0.033876
20,0.51,3.3885,0.29512,744.19,894.7,5.7891,1.7016,2.2458,443.6,4.5104,1.11E-05,0.033883
20,0.52,3.4556,0.28939,744.11,894.59,5.7788,1.7017,2.2464,443.57,4.5098,1.11E-05,0.03389
20,0.53,3.5227,0.28387,744.04,894.49,5.7686,1.7018,2.247,443.54,4.5093,1.11E-05,0.033897
20,0.54,3.5898,0.27857,743.97,894.39,5.7587,1.7019,2.2476,443.5,4.5087,1.11E-05,0.033904
20,0.55,3.657,0.27345,743.89,894.29,5.7489,1.702,2.2483,443.47,4.5081,1.11E-05,0.033911
20,0.56,3.7241,0.26852,743.82,894.19,5.7393,1.7021,2.2489,443.44,4.5076,1.11E-05,0.033917
20,0.57,3.7914,0.26376,743.75,894.09,5.7299,1.7023,2.2495,443.4,4.507,1.11E-05,0.033924
20,0.58,3.8586,0.25916,743.67,893.99,5.7207,1.7024,2.2502,443.37,4.5064,1.11E-05,0.033931
20,0.59,3.9258,0.25472,743.6,893.88,5.7115,1.7025,2.2508,443.34,4.5059,1.11E-05,0.033938
20,0.6,3.9931,0.25043,743.52,893.78,5.7026,1.7026,2.2514,443.3,4.5053,1.11E-05,0.033945
20,0.61,4.0604,0.24628,743.45,893.68,5.6938,1.7027,2.252,443.27,4.5047,1.11E-05,0.033952
20,0.62,4.1277,0.24226,743.38,893.58,5.6851,1.7028,2.2527,443.24,4.5042,1.11E-05,0.033958
20,0.63,4.1951,0.23837,743.3,893.48,5.6765,1.7029,2.2533,443.2,4.5036,1.11E-05,0.033965
20,0.64,4.2625,0.23461,743.23,893.38,5.6681,1.703,2.2539,443.17,4.503,1.11E-05,0.033972
20,0.65,4.3299,0.23095,743.16,893.28,5.6598,1.7031,2.2546,443.14,4.5024,1.11E-05,0.033979
20,0.66,4.3973,0.22741,743.08,893.17,5.6517,1.7032,2.2552,443.1,4.5019,1.11E-05,0.033986
20,0.67,4.4647,0.22398,743.01,893.07,5.6436,1.7033,2.2558,443.07,4.5013,1.11E-05,0.033993
20,0.68,4.5322,0.22064,742.93,892.97,5.6357,1.7034,2.2565,443.04,4.5007,1.11E-05,0.034
20,0.69,4.5997,0.2174,742.86,892.87,5.6279,1.7035,2.2571,443,4.5001,1.11E-05,0.034007
20,0.7,4.6673,0.21426,742.79,892.77,5.6202,1.7036,2.2577,442.97,4.4996,1.11E-05,0.034014
20,0.71,4.7348,0.2112,742.71,892.67,5.6126,1.7037,2.2584,442.94,4.499,1.11E-05,0.03402
20,0.72,4.8024,0.20823,742.64,892.57,5.6051,1.7038,2.259,442.9,4.4984,1.11E-05,0.034027
20,0.73,4.87,0.20534,742.57,892.46,5.5977,1.704,2.2597,442.87,4.4978,1.11E-05,0.034034
20,0.74,4.9376,0.20253,742.49,892.36,5.5904,1.7041,2.2603,442.84,4.4972,1.11E-05,0.034041
20,0.75,5.0053,0.19979,742.42,892.26,5.5832,1.7042,2.2609,442.81,4.4967,1.11E-05,0.034048
20,0.76,5.0729,0.19712,742.34,892.16,5.576,1.7043,2.2616,442.77,4.4961,1.11E-05,0.034055
20,0.77,5.1406,0.19453,742.27,892.06,5.569,1.7044,2.2622,442.74,4.4955,1.11E-05,0.034062
20,0.78,5.2084,0.192,742.2,891.96,5.5621,1.7045,2.2628,442.71,4.4949,1.11E-05,0.034069
20,0.79,5.2761,0.18953,742.12,891.85,5.5552,1.7046,2.2635,442.67,4.4943,1.11E-05,0.034076
20,0.8,5.3439,0.18713,742.05,891.75,5.5485,1.7047,2.2641,442.64,4.4937,1.11E-05,0.034083
20,0.81,5.4117,0.18479,741.97,891.65,5.5418,1.7048,2.2648,442.61,4.4932,1.11E-05,0.03409
20,0.82,5.4795,0.1825,741.9,891.55,5.5352,1.7049,2.2654,442.58,4.4926,1.11E-05,0.034097
20,0.83,5.5474,0.18027,741.83,891.45,5.5286,1.705,2.2661,442.54,4.492,1.11E-05,0.034104
20,0.84,5.6152,0.17809,741.75,891.34,5.5222,1.7051,2.2667,442.51,4.4914,1.11E-05,0.034111
20,0.85,5.6831,0.17596,741.68,891.24,5.5158,1.7052,2.2673,442.48,4.4908,1.11E-05,0.034118
20,0.86,5.7511,0.17388,741.6,891.14,5.5095,1.7053,2.268,442.45,4.4902,1.11E-05,0.034125
20,0.87,5.819,0.17185,741.53,891.04,5.5032,1.7054,2.2686,442.41,4.4896,1.11E-05,0.034132
20,0.88,5.887,0.16987,741.45,890.94,5.497,1.7056,2.2693,442.38,4.489,1.11E-05,0.034139
20,0.89,5.955,0.16793,741.38,890.84,5.4909,1.7057,2.2699,442.35,4.4884,1.11E-05,0.034146
20,0.9,6.023,0.16603,741.31,890.73,5.4849,1.7058,2.2706,442.32,4.4878,1.11E-05,0.034153
20,0.91,6.0911,0.16418,741.23,890.63,5.4789,1.7059,2.2712,442.28,4.4872,1.11E-05,0.03416
20,0.92,6.1591,0.16236,741.16,890.53,5.473,1.706,2.2719,442.25,4.4866,1.11E-05,0.034167
20,0.93,6.2272,0.16059,741.08,890.43,5.4671,1.7061,2.2725,442.22,4.486,1.11E-05,0.034174
20,0.94,6.2954,0.15885,741.01,890.33,5.4613,1.7062,2.2732,442.19,4.4854,1.11E-05,0.034181
20,0.95,6.3635,0.15715,740.93,890.22,5.4556,1.7063,2.2738,442.16,4.4848,1.11E-05,0.034188
20,0.96,6.4317,0.15548,740.86,890.12,5.4499,1.7064,2.2745,442.12,4.4842,1.11E-05,0.034195
20,0.97,6.4999,0.15385,740.79,890.02,5.4443,1.7065,2.2751,442.09,4.4836,1.11E-05,0.034202
20,0.98,6.5681,0.15225,740.71,889.92,5.4387,1.7066,2.2758,442.06,4.483,1.11E-05,0.034209
